event_id,event_guid,event_last_modified_utc,event_row_version,event_body_id,event_body_name,event_date,event_time,event_video_status,event_agenda_status_id,event_agenda_status_name,event_minutes_status_id,event_minutes_status_name,event_location,event_agenda_file,event_minutes_file,event_agenda_last_published_utc,event_minutes_last_published_utc,event_comment,event_video_path,event_in_site_url,event_items
1080,6E335D32-42FE-4B87-B321-0A393A266131,2017-08-08T14:08:58.68,AAAAAAAam6E=,138,City Council,2017-09-12T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/9/1080_A_City_Council_17-09-12_Amended_Agenda.pdf,,2017-09-26T23:50:28.76,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1080&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1082,9042D651-CAB4-4757-84AA-4C7FF339BE09,2017-08-08T14:34:18.97,AAAAAAAanEc=,138,City Council,2017-09-26T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/9/1082_A_City_Council_17-09-26_Amended_Agenda.pdf,,2017-09-26T17:07:05.483,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1082&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1083,F2045B78-3E11-4C31-96A1-B1A12D757F52,2017-08-08T14:34:44.06,AAAAAAAam8E=,138,City Council,2017-09-19T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/9/1083_A_City_Council_17-09-19_Amended_Agenda.pdf,,2017-09-27T22:03:49.813,,..,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1083&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1084,5B3BFB39-389E-4D55-BC2D-97299ACC2005,2017-08-08T14:35:21.3,AAAAAAAb1H4=,138,City Council,2017-10-03T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/10/1084_A_City_Council_17-10-03_Amended_Agenda.pdf,,2017-10-04T23:05:47.62,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1084&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1085,78F1A9EE-F614-44E6-80C1-8E67133305A1,2017-08-08T14:55:19.86,AAAAAAAb1Xo=,138,City Council,2017-10-17T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/10/1085_A_City_Council_17-10-17_Amended_Agenda.pdf,,2017-10-18T20:43:21.903,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1085&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1086,6A586F64-E20C-4EA3-873B-BA1922BEB417,2017-08-08T14:58:10.083,AAAAAAAb/Fg=,138,City Council,2017-10-24T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/10/1086_A_City_Council_17-10-24_Amended_Agenda.pdf,,2017-11-09T00:17:21.927,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1086&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1087,F52A00BA-A032-4035-A007-0CADE05E1C82,2017-08-11T20:51:08.653,AAAAAAAbmRg=,138,City Council,2017-10-31T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/10/1087_A_City_Council_17-10-31_Amended_Agenda.pdf,,2017-11-02T19:07:52.783,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1087&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1088,44009F81-B67A-41C9-8909-F0DE0CF44519,2017-08-11T20:53:47.53,AAAAAAAcdRE=,138,City Council,2017-11-07T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/11/1088_A_City_Council_17-11-07_Amended_Agenda.pdf,,2017-11-08T18:47:58.61,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1088&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1089,4476BFBC-B228-4D34-A4A1-10DAF3097E50,2017-08-11T20:55:44.303,AAAAAAAgjiQ=,138,City Council,2017-11-14T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/11/1089_A_City_Council_17-11-14_Amended_Agenda.pdf,,2017-11-14T16:52:29.313,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1089&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1091,A5B73505-C3D7-4F1F-99D8-D32AC049CABD,2017-08-11T20:58:12.5,AAAAAAAdPQo=,138,City Council,2017-11-28T00:00:00,1:30 PM,Public,10,Final,16,Not available,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/11/1091_A_City_Council_17-11-28_Amended_Agenda.pdf,,2017-11-28T20:07:30.813,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1091&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1099,DF422883-405A-4339-9BD4-F7EED6543F9C,2017-09-05T14:57:22.923,AAAAAAAepjc=,138,City Council,2017-12-12T00:00:00,11:00 AM,Public,10,Final,13,Draft,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/12/1099_A_City_Council_17-12-12_Amended_Agenda.pdf,,2017-12-13T19:01:32.59,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1099&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1100,BDFEF29A-FD10-4F42-A693-F53F8DCCEE83,2017-09-05T14:58:05.463,AAAAAAAepjo=,138,City Council,2017-12-05T00:00:00,1:30 PM,Public,10,Final,13,Draft,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/12/1100_A_City_Council_17-12-05_Amended_Agenda.pdf,,2017-12-06T21:31:38.22,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1100&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1103,3AA7FD2A-2CE0-4AC4-A513-DB2CEE4DEE9B,2017-09-26T18:08:30.72,AAAAAAAfevk=,138,City Council,2017-12-19T00:00:00,1:30 PM,Public,10,Final,13,Draft,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/12/1103_A_City_Council_17-12-19_Amended_Agenda.pdf,,2017-12-21T19:52:03.083,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1103&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1106,3E5E51A5-DED3-41F3-80B4-492073C81C1F,2017-10-12T22:45:58.49,AAAAAAAdDjk=,170,Smart Cities and Service Improvements Committee ,2017-05-04T00:00:00,1:30 PM,Public,10,Final,13,Draft,,http://legistar.granicus.com/sanjose/meetings/2017/5/1106_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-05-04_Administrative_Draft.pdf,,2017-12-01T00:44:48.12,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1106&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1107,64A2865A-4DA1-49BB-8ADF-AE35A5E6604A,2017-10-13T10:29:45.15,AAAAAAAb1rc=,223,Transportation and Environment Committee (T&E),2017-10-02T00:00:00,,Public,14,Agenda,13,Draft,,,,,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1107&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1109,7E57AF1B-81F5-4491-B30C-D47937A86786,2017-10-16T19:40:35.07,AAAAAAAb3bQ=,223,Transportation and Environment Committee (T&E),2017-11-06T00:00:00,1:30 PM,Public,13,Draft,13,Draft,,,,,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1109&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1111,C00ADC3A-ADA4-4531-8FF1-1EF5173862F4,2017-10-16T23:36:59.097,AAAAAAAdDmQ=,170,Smart Cities and Service Improvements Committee ,2017-03-02T00:00:00,,Public,10,Final,13,Draft,,http://legistar.granicus.com/sanjose/meetings/2017/3/1111_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-03-02_Administrative_Draft.pdf,,2017-12-01T00:45:03.803,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1111&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1112,24571E6B-5FA5-4654-A67A-EBF521A5BAA6,2017-10-17T18:15:35.2,AAAAAAAdDfs=,170,Smart Cities and Service Improvements Committee ,2017-06-01T00:00:00,1:30 PM,Public,10,Final,13,Draft,,http://legistar.granicus.com/sanjose/meetings/2017/6/1112_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-06-01_Administrative_Draft.pdf,,2017-12-01T00:44:33.837,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1112&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1113,9AB04AC8-E7F9-4D60-8173-859D56DA6EF0,2017-10-17T21:31:15.623,AAAAAAAdDYg=,170,Smart Cities and Service Improvements Committee ,2017-10-05T00:00:00,1:30 PM,Public,10,Final,13,Draft,,http://legistar.granicus.com/sanjose/meetings/2017/10/1113_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-10-05_Administrative_Draft.pdf,,2017-12-01T00:43:59.65,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1113&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1114,9554655B-8E6A-4B7E-AAED-DFA7B5C7FB9C,2017-10-17T21:32:26.753,AAAAAAAdDb4=,170,Smart Cities and Service Improvements Committee ,2017-09-07T00:00:00,1:30 PM,Public,10,Final,13,Draft,,http://legistar.granicus.com/sanjose/meetings/2017/9/1114_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-09-07_Administrative_Draft.pdf,,2017-12-01T00:44:20.133,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1114&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1115,31A07CFF-98EC-4041-A148-A79250B095F3,2017-10-17T23:58:00.283,AAAAAAAcNTc=,140,Community & Economic Development Committee (CED),2017-10-23T00:00:00,1:30 PM,Public,9,Administrative Draft,13,Draft,Wing Rooms W118 and W119,,,,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1115&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1124,CADEA2A0-DBFA-4658-93F3-8B7B2C31A6DC,2017-11-07T16:09:14.567,AAAAAAAl4HA=,138,City Council,2018-01-09T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/1/1124_A_City_Council_18-01-09_Amended_Agenda.pdf,,2018-01-06T02:33:58.337,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1124&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1125,21037B4A-F20A-4321-9141-DD2205048DD4,2017-11-07T16:11:40.17,AAAAAAAmZ3U=,138,City Council,2018-01-23T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/1/1125_A_City_Council_18-01-23_Amended_Agenda.pdf,,2018-02-14T18:59:21.657,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1125&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1126,65F19F62-D3FD-4D3B-90E2-3046A5C30B93,2017-11-07T16:12:20.043,AAAAAAAl8xc=,138,City Council,2018-01-30T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/1/1126_A_City_Council_18-01-30_Amended_Agenda.pdf,,2018-01-31T17:53:10.667,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1126&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1127,19918D1F-C010-4777-9BD9-604B817F58AA,2017-11-07T16:13:32.483,AAAAAAAk7/I=,138,City Council,2018-02-27T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/2/1127_A_City_Council_18-02-27_Amended_Agenda.pdf,,2018-03-02T01:09:01.917,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1127&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1128,E915CD5D-45F7-4676-89C4-60BF7DBD7B67,2017-11-07T16:13:55.327,AAAAAAAlDT4=,138,City Council,2018-02-13T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/2/1128_A_City_Council_18-02-13_Amended_Agenda.pdf,,2018-02-15T20:54:34.05,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1128&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1129,4BB074EF-3689-4927-9CB2-AA52FAB5EA6D,2017-11-07T16:14:25.483,AAAAAAAlBoA=,138,City Council,2018-02-06T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/2/1129_A_City_Council_18-02-06_Amended_Agenda.pdf,,2018-02-06T20:41:42.983,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1129&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1130,B17AB15D-C39D-4D14-B689-DE64C051CA30,2017-11-13T18:46:48.19,AAAAAAAepjw=,170,Smart Cities and Service Improvements Committee ,2017-12-07T00:00:00,1:30 PM,Public,10,Final,13,Draft,,http://legistar.granicus.com/sanjose/meetings/2017/12/1130_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-12-07_Administrative_Draft.pdf,,2017-12-05T18:10:48.473,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1130&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1131,279E00E2-94BC-494C-9609-EBFC651B0B6C,2017-12-01T18:39:06.56,AAAAAAAfxM8=,170,Smart Cities and Service Improvements Committee ,2017-11-02T00:00:00,1:30 PM,Public,10,Final,13,Draft,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2017/11/1131_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_17-11-02_Administrative_Draft.pdf,,2017-12-01T19:09:34.063,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1131&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1138,CC8DA0AC-5F13-4E4D-9245-F42A8FA64E26,2017-12-15T16:57:47.48,AAAAAAAewxk=,139,Neighborhood Services and Education Committee (NSE),2017-12-14T00:00:00,1:30 PM,Public,10,Final,13,Draft,W118/119/120,,,,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1138&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1139,DD103456-3E2B-442C-87EE-FC793EC031CD,2017-12-15T22:10:28.843,AAAAAAAk5aU=,138,City Council,2018-03-06T00:00:00,1:30 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/3/1139_A_City_Council_18-03-06_Amended_Agenda.pdf,,2018-03-07T20:40:34.26,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1139&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1140,E5FCA7DC-5EB1-4063-A89A-A03C614E03D0,2017-12-19T18:11:18.887,AAAAAAAk6iA=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-01-03T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/1/1140_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-01-03_Administrative_Draft.pdf,,2018-01-03T21:33:39.783,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1140&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1142,2C81CFC3-C2F0-497E-A299-BF60CA0CA730,2017-12-21T21:11:44.46,AAAAAAAl4iE=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-01-10T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/1/1142_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-01-10_Administrative_Draft.pdf,,2018-01-26T20:46:42.993,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1142&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1143,10FEE0CC-D9FB-48CE-B33A-EF80A9AAD2DC,2018-01-03T18:41:21.68,AAAAAAAl5WU=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-01-17T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/1/1143_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-01-17_Administrative_Draft.pdf,,2018-01-17T21:22:30.553,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1143&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1144,9BBCA7C8-1C78-4907-A91E-5AC97A7D2AE3,2018-01-03T18:43:33.09,AAAAAAAl4tk=,138,City Council,2018-01-16T00:00:00,6:00 PM,Public,10,Final,10,Final,Council Chambers,http://legistar.granicus.com/sanjose/meetings/2018/1/1144_A_City_Council_18-01-16_Agenda.pdf,,2018-01-16T18:52:06.467,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1144&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1145,1F8616AC-5B4E-42A0-983C-478CDC6922FB,2018-01-03T19:25:22.24,AAAAAAAl60Q=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-01-24T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/1/1145_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-01-24_Administrative_Draft.pdf,,2018-01-24T21:11:26.363,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1145&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1146,4AB4E6B0-EBA8-46DE-AF74-601276CE282B,2018-01-03T19:25:49.8,AAAAAAAl7Ls=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-01-31T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/1/1146_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-01-31_Administrative_Draft.pdf,,2018-01-31T21:19:13.3,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1146&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1147,D98CB2AB-085B-4A65-8403-03FFA1F957D9,2018-01-03T19:26:25.223,AAAAAAAl9ns=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-02-07T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/2/1147_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-02-07_Administrative_Draft.pdf,,2018-02-07T21:25:13.9,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1147&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1148,B0E6BFB1-400A-4E7F-9119-0124C896E10B,2018-01-03T19:27:13.96,AAAAAAAl8F8=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-02-14T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/2/1148_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-02-14_Administrative_Draft.pdf,,2018-02-14T21:23:19.28,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1148&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1149,B7CA706C-C682-471E-9927-0924423BED02,2018-01-03T19:27:38.153,AAAAAAAl+C8=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-02-21T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/2/1149_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-02-21_Administrative_Draft.pdf,,2018-02-21T21:38:27.773,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1149&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1150,6CF5BB50-500C-4EE2-A04D-519721982646,2018-01-03T19:28:11.2,AAAAAAAl+DU=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-02-28T00:00:00,2:00 PM,Public,10,Final,10,Final,"City Hall, Tower, 17th Floor",http://legistar.granicus.com/sanjose/meetings/2018/2/1150_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-02-28_Administrative_Draft.pdf,,2018-02-28T20:52:16.59,,Rules In-Lieu Meeting,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1150&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1151,7B0743A7-D2D2-4E4D-92B8-CAB7195467B9,2018-01-03T19:28:35.14,AAAAAAAl+zc=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-03-07T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/3/1151_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-03-07_Administrative_Draft.pdf,,2018-03-08T01:36:03.04,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1151&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1152,39341314-1FFF-4FFF-86E6-C44EF143817B,2018-01-03T19:28:55.157,AAAAAAAl/Yk=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-03-14T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/3/1152_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-03-14_Administrative_Draft.pdf,,2018-03-14T20:15:02.293,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1152&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1153,C8643C0D-0C93-48D2-B02D-50B3E67D8C25,2018-01-03T19:29:13.123,AAAAAAAl/+A=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-03-21T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/3/1153_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-03-21_Administrative_Draft.pdf,,2018-03-22T20:22:57.417,,Amended Agenda,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1153&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1154,B5D3AE5F-3FEA-4020-812A-4981A25A9609,2018-01-03T19:29:32.983,AAAAAAAmNys=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-03-28T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/3/1154_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-03-28_Administrative_Draft.pdf,,2018-03-28T20:24:28.78,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1154&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1159,36B4337C-BEE4-4B6E-9B41-3315A7AD8367,2018-01-03T19:32:08.86,AAAAAAAoZ8g=,231,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2018-04-25T00:00:00,2:00 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/4/1159_A_Joint_Meeting_for_the_Rules_and_Open_Government_Committee_and_Committee_of_the_Whole_18-04-25_Administrative_Draft.pdf,,2018-04-25T20:33:36.597,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1159&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1161,FD4C47CA-DE22-4E04-8778-384037E431EC,2018-01-03T19:33:27.733,AAAAAAAl45M=,140,Community & Economic Development Committee (CED),2018-01-22T00:00:00,1:30 PM,Public,10,Final,10,Final,Wing Rooms W118 - W120,http://legistar.granicus.com/sanjose/meetings/2018/1/1161_A_COMMUNITY_AND_ECONOMIC_DEVELOPMENT_COMMITTEE_18-01-22_Administrative_Draft.pdf,,2018-01-23T20:40:37.507,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1161&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1162,F617F7BD-3EFD-4E80-B2DB-92C345520596,2018-01-03T19:35:04.593,AAAAAAAl7VU=,170,Smart Cities and Service Improvements Committee ,2018-02-01T00:00:00,1:30 PM,Public,10,Final,10,Final,Chambers,http://legistar.granicus.com/sanjose/meetings/2018/2/1162_A_SMART_CITIES_AND_SERVICE_IMPROVEMENTS_COMMITTEE_18-02-01_Administrative_Draft.pdf,,2018-02-01T19:41:36.193,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1162&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1163,0B88DAF6-C3FE-4E8D-932B-CE8B35ED64F9,2018-01-03T19:36:02.613,AAAAAAAl7dU=,223,Transportation and Environment Committee (T&E),2018-02-05T00:00:00,1:30 PM,Public,10,Final,10,Final,Wing W118-120,http://legistar.granicus.com/sanjose/meetings/2018/2/1163_A_TRANSPORTATION_AND_ENVIRONMENT_COMMITTEE_18-02-05_Administrative_Draft.pdf,,2018-02-03T01:58:04.127,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1163&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
1164,F5F21C98-1FDE-4437-A080-C65651D86EC3,2018-01-03T19:36:32.87,AAAAAAAl7lk=,139,Neighborhood Services and Education Committee (NSE),2018-02-08T00:00:00,1:30 PM,Public,10,Final,10,Final,W118-120,http://legistar.granicus.com/sanjose/meetings/2018/2/1164_A_NEIGHBORHOOD_SERVICES_AND_EDUCATION_COMMITTEE_18-02-08_Administrative_Draft.pdf,,2018-02-02T18:50:43.38,,,,https://sanjose.legistar.com/MeetingDetail.aspx?LEGID=1164&GID=317&G=920296E4-80BE-4CA2-A78F-32C5EFCF78AF,[]
